tweet,label
"Veo mucha gente triste por el incendio en HASHTAG. Te cuento que la semana pasada un hombre le prendió fuego la casilla a su ex mujer, perdió lo poco que tenía, no se digo, quizás también se te da por poner una foto de ella y darle una mano no?",sadness
"Brava, Brava, Brava ... tú podías volar y te has quedado posadita en el suelo como si montases una gallina. Supuestamente no te quemas y no te sirvió de nada. Ni te has esforzado en aprender a usar un arma. Tanto poder y tan desperdiciado... TU NO. HASHTAG HASHTAG https://t.co/6kyUAOjmzY",others
"Que tristeza lo que pasó hoy en España, cada vez más países se dejan llevar por las peligrosas ideas del socialismo y el progresismo. Vienen tiempos duros para España y para occidente. HASHTAG",sadness
Feliz  HASHTAG que disfruten del mismo https://t.co/CPCJvvbt5g,joy
¿Por qué cojones no está Sam en la puta cripta? Me está poniendo de los nervios HASHTAG HASHTAG HASHTAG,anger
Felicidades a todos los culés!! 8-11 k burrada!! Esperemos que la próxima sea más igualada!!! HASHTAG,others
La han destruido por completo. Han destrozado HASHTAG impunemente. Malditos psicópatas. Y la versión oficial ... ¿se decantará por la opción A o la B? Se admiten apuestas.,anger
La presidenta de nuestra Fundación USER ha escrito un artículo sobre Greta Thunberg activista contra el cambio climático. Compartimos enlace al mismo: https://t.co/lmBTTUaE3Y HASHTAG  HASHTAG HASHTAG HASHTAG HASHTAG https://t.co/NKz2N21a9O,others
Por eso tienes que jugar con un 9 Klopp HASHTAG,others
USER suite para la resurrección triste muy triste 🇫🇷👐💚😔 HASHTAG https://t.co/5twqjWbSSo,sadness
"A pesar de la lluvia, muy buen ambiente en el HASHTAG. ¡Feliz HASHTAG, HASHTAG y a leer mucho!   PD: Os dejo mis adquisiciones y obsequios, todo en USER 👌🏼. https://t.co/oKd56DHMGi",joy
Que manera de vender pescado podrido. Evidentemente saben a sus electores como personas no pensantes. Sino no se entiende. HASHTAG https://t.co/eInRTOqOxd,anger
"HASHTAG HASHTAG  mi ciudad favorita del mundo, conozco la belleza gracias a ti HASHTAG HASHTAG❤️💪 https://t.co/t33wcavkn5",joy
Gracias melissandre y señor de la luz por encender las trincheras para que nosotros espectadores pudiéramos ver algo. HASHTAG  HASHTAG  HASHTAG  HASHTAG https://t.co/TRHcflmLLW,others
Apaguen el play. Ya ganó. HASHTAG HASHTAG https://t.co/1b3PBNEYja,others
HASHTAG VÍDEO:😱 ¡Fuera de Control! Manifestaciones😥en las calles de HASHTAG 🇻🇪dejan heridos y atropellados y más...https://t.co/zhRIxkL68z,sadness
Lo que costó 200 años en construir se puede perder en un día... que tristeza! HASHTAG HASHTAG https://t.co/zpbO5kDeuZ,sadness
Buenos días . Camino del trabajo me pregunto si alguien sabe donde están escondidos los  que se reían de los datos del HASHTAG ? HASHTAG HASHTAG HASHTAG,sadness
El Rey de la Noche con la manicura perfecta es the best HASHTAG,joy
Me he levantado a verlo. No hagáis spoilers y no le fastidiéis a nadie este gran capítulo. HASHTAG HASHTAG HASHTAG,others
Pareciera que los cubanos no solo están a cargo de la inteligencia en HASHTAG; también de las comunicaciones externas de la cúpula militar.  HASHTAG   HASHTAG https://t.co/ayIyGQPDYq,others
USER Solo basto la entrada de Messi para que desequilibrar al Levante y así anotar el gol de la victoria que les da el campeonato de Liga 2018-2019! HASHTAG HASHTAG HASHTAG https://t.co/8p9h5owQND,joy
"Estoy tomando la costumbre de tomarme los años impares en sabáticos en cuanto al tema literario (presentaciones, ferias...) ¿Será malo, digo yo?  HASHTAG",others
"FELIZ. Gracias España! Los españoles hemos demostrado que somos mejores que nuestros políticos. No queremos odio, enfrentamiento ni ir hacía atrás. Lo que queremos es igualdad, avanzar y diálogo. HASHTAG HASHTAG",joy
HASHTAG    ¿ Será que Maduro seguirá el mismo camino que Nicolae Ceaușescu ?,others
"Solo una Izquierda inútil e incapaz de toda autocrítica como la que representan Unidas Podemas - IU y demás batiburrillo de confluencias, podría salir ahora dando como bueno perder 30 diputados.   HASHTAG HASHTAG",anger
"¡Feliz día del libro a todos! ¡Y felicidades a todos los Jorges!  ""𝐄𝐥 𝐪𝐮𝐞 𝐋𝐄𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐀𝐍𝐃𝐀 𝐦𝐮𝐜𝐡𝐨, 𝐕𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐒𝐀𝐁𝐄 𝐦𝐮𝐜𝐡𝐨"" (𝑴𝒊𝒈𝒖𝒆𝒍 𝒅𝒆 𝑪𝒆𝒓𝒗𝒂𝒏𝒕𝒆𝒔)  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG…https://t.co/2zJ97dpaps",joy
Bueno en realidad Berrick Ya no tiene sentido que este en la serie!! Sabemos lo que pasa en los libros pero aún quedaba la duda si usaría ese donde de revivir con alguien o no HASHTAG HASHTAG HASHTAG,surprise
HASHTAG HASHTAG | Estos son los cinco beneficios que obtiene tu cerebro al leer un libro  Más detalles: https://t.co/GJJKMJVMuM,others
¿Llegarán a poder ser dóciles del todo? Lo veremos en próximos capítulos de HASHTAG https://t.co/tlJGMPC1P0,others
Shot cada que veas un Twitts de HASHTAG. Doble si mencionan a Cuasimodo. Fondo si ponen foto de ellos en la catedral.,others
"""Soy una niña que dice que otras personas están robando mi futuro"" HASHTAG, activista sueca símbolo de las protestas por el clima  https://t.co/XGlcxp4aUQ",sadness
Donde se han metido todos trolls de Vox? HASHTAG,others
30' Media hora de juego (ATM🔴⚪0-VLL💜⚪0) HASHTAG🔴⚪💜⚪#LaLiga,others
"HASHTAG🇻🇪 Por todos los fallecidos en protestas, por todos los fallecidos por hambre, por todos los fallecidos por falta de medicamentos, por todos los que tuvieron que abandonar su hogar y por todos los que nos hemos levantado aún con lágrimas en los ojos.",sadness
"Gol, gol y goooooool del único mejor ""9""  te amo Suárez😘😘 HASHTAG HASHTAG",joy
Me dispongo a ver por segunda vez el episodio 8x03 y estoy más nerviosa que la primera... HASHTAG  HASHTAG,fear
"HASHTAG: la ""estructura"" del monumento pudo ser salvada ""en su totalidad"", según los bomberos franceses. Los trabajos para apagar las llamas por completo continúan. https://t.co/AE9xZbZRZX [ct]",joy
"HASHTAG Uno de los mejores libros que he leído,  se los recomiendo. https://t.co/Wf0J5zK7xM",joy
Y llegó el 600 te amo USER  HASHTAG,joy
Que espectáculo lo de Sadio Mane. HASHTAG,others
Está claro que sin Messi no hubiera sido lo mismo pero aun así 8 de 11 es impresionante. Enhorabuena a todos los culés!!! 🏆🔴🔵🔴🔵#Campions HASHTAG HASHTAG https://t.co/Qo7oxF827r,joy
Puta locura de capitulo. Lo mejor que he visto pero con diferencia HASHTAG,joy
"Una auténtica desgracia!!! Ojalá todos y todas podamos volver a verla en todo su esplendor, aunque ya nunca será lo mismo HASHTAG https://t.co/Z0KfI9DSYI",sadness
"‘Derrota clara i rotunda’. Vale, lo ha entendido. 30 segundos después: ‘Trabajaremos en la reconstrucción del constitucionalismo’.  Pues no lo ha pillado. HASHTAG HASHTAG HASHTAG HASHTAG https://t.co/2nwXTU1V4R",others
La gente que hace bromas con HASHTAG y juego de tronos... Esa gente que tiene que hacer chistes a toda costa para mantener con vidilla su perfil. Twitter 2019.,others
"A propósito del HASHTAG 😍:   La de la Sorbona, la Pública de NY y otras bibliotecas, las más bonitas del mundo https://t.co/r4E5sjHxtf",joy
El clima del futuro (aún) está en nuestras manos HASHTAG HASHTAG HASHTAG https://t.co/yIFEM2MHgZ,others
Una disculpa mis estimados hermanos de HASHTAG. La ignorancia de algunos Mexicanos es grande! Quiero a Venezuela libre! https://t.co/DS4UXSKVOT,joy
"Ahora mismo el Barcelona es campeón ⏳ tic tac HASHTAG  ⚽️El gol de Messi, vale una liga 😅",joy
"La Catedral de HASHTAG construida en 1163, ha sobrevivido a invasiones, revoluciones y guerras, pero un devastador HASHTAG acaba con ella.  Triste suceso para la HASHTAG HASHTAG.  📷 GetYourGuide HASHTAG HASHTAG https://t.co/RxEit4kNgm",sadness
Mentiroso resultado HASHTAG mereció más . Un 4/3 debió ser justo HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,anger
"HASHTAG vaya atraco al HASHTAG. Vale que la mano no la ve el árbitro en directo, pero en el monitor es clarísima. Árbitro prevaricador!",anger
Acabo de ver el gol de Messi...  ¡TREMENDO! HASHTAG,joy
"Feliz día del libro, y sean todos bienvenidos porque hay para todos los gustos. Siempre lleven un libro con ustedes.. HASHTAG https://t.co/FGjcnnSsJl",joy
"Messi, sin duda, el mejor jugador del mundo, HASHTAG USER con un pie en la final de la HASHTAG",others
"Catedral de HASHTAG, símbolo gótico de París 🇫🇷🕍 https://t.co/Xr2yv0g9DR https://t.co/vZt2XPFqV4",others
Compara el número de minutos y tweets dedicados a HASHTAG con el que se dedicó al autobús escolar bombardeado en Yemen matando decenas de niños......  Asco!!!!!,disgust
Independientemente al carácter religioso de HASHTAG hoy se ha dañado una de las creaciones humanas más grandes en la arquitectura y en tiempos en los que el hombre solo destruye eso si representa una pérdida notable.,sadness
"HASHTAG HASHTAG HASHTAG.El Gobierno subraya que ""España no respalda ningún golpe militar"" en Venezuela",others
"Hoy es el HASHTAG. Desde El Ateneo en Buenos Aires, un lugar que hace honor a miles de libros, pero que aún no tiene todos los que quiero. La Biblioteca de mis sueños tiene amplias… https://t.co/xv9Gfk2Jk9",joy
Jaén sin escaños de VOX y qué bien HASHTAG HASHTAG,joy
Impresionante!!! Brutal! Y... simplemente HASHTAG !!!! Que tensión continúa!!! HASHTAG HASHTAG HASHTAG HASHTAG,joy
"USER Si, la vi porque vi la película del Jorobado de HASHTAG, me da mucha tristeza lo que ha pasado, ojalá el enfermito esté bien.",sadness
HASHTAG HASHTAG No tiene vergüenza el presidente argentino doble moral. Alienta el golpe de estado en el país hermano y repudia  un paro legítimo en su país tildando de golpistas a los trabajadores,anger
"HASHTAG En una ocasión paseado a orillas del sena te encontramos majestuosa delante de nuestros ojos y ahora con el pueblo de HASHTAG seguro que muy pronto volveras a brillar así ,que no te quepa la menor duda querida HASHTAG  HASHTAG https://t.co/6GOvig1i2R",joy
"Por favor, no publiques tus fotos con  HASHTAG! Este incendio es un evento desgarrador para HASHTAG y el mundo. Simplemente muestre su solidaridad con HASHTAG en esta terrible tragedia. ¡No todo es sobre ti! https://t.co/8YWz6CsDwM",sadness
"Me cago en la puta, una semana más HASHTAG",anger
"EMERGENCIA CLIMÁTICA! El viernes se va a celebrar la huelga por el clima HASHTAG HASHTAG HASHTAG ##fridaysforfuture HASHTAG en Madrid, Spain https://t.co/DDpxbW6g64",others
Las penas del fútbol se pasan con fútbol...Messi un crack! HASHTAG,joy
"Un HASHTAG vs HASHTAG para final de la HASHTAG...  Adivinen desde el cielo, ¿Quién será el más feliz?  ⚽️🙏🏼👏🏼",others
A Messi le dio envidia y anotó... Barca ya es campeón en España 🇪🇸 HASHTAG,others
"HASHTAG NUEVAMENTE GOLPE DE ESTADO DESCARADO EN HASHTAG, HASHTAG ES RESPONSABLE DE TODA LA DESTRUCCIÓN DE ESE PAÍS. HASHTAG APLICA FALSOS POSITIVOS,PERO EL PUEBLO RESPALDA A MADURO. https://t.co/Ng9Ky8C2RA",anger
Maduro asegura que tiene 'total lealtad' de jefes militares HASHTAG HASHTAG https://t.co/oPkiq1n9YC,others
"Manifestantes venezolanos durante enfrentamientos con fuerzas de seguridad en HASHTAG, HASHTAG | Fotos: USER y USER https://t.co/YWTIHuQeo4",others
La musiquita de bueno pues aquí HASHTAG,others
Me encanta el olor a NAPAL en Genova 13 por la mañana. HASHTAG HASHTAG,others
FINAL 🏆 El Barça gana al Levante con un gol de Leo Messi y ya es CAMPEÓN DE LIGA 2018/19. ¡¡¡Felicidades al USER y a todos sus aficionados!!! 👏👏👏https://t.co/6mY4yOpBVQ HASHTAG HASHTAG https://t.co/WbFbAWg3i6,joy
Leganés 0-0 Celta de Vigo | HASHTAG | HASHTAG | HASHTAG,others
"Encima esta música tan turbia y puf, ya basta, por favor HASHTAG",anger
Me estoy aprendiendo las frases por si acaso: Para saludarnos: ‘Bendito sea el fruto’ contestación ‘el señor permita que madure’ Para despedirnos: ‘con su mirada’ Para cualquier buena noticia: ‘alabado sea’ (😭🙏🏼) HASHTAG HASHTAG,others
"La foto es devastadora. Parece que al menos la estructura va a poder salvarse, pero la pérdida es terrible, irreparable, es una tragedia. Hoy es un día muy triste. HASHTAG https://t.co/5tFzI6Bhz1",sadness
"Tragedia en HASHTAG HASHTAG Una gran perdida del patrimonio cultural de la humanidad. Acá imágenes de su interior, maqueta que muestran proceso de construcción y placa que recuerda su construcción, año 1.163. Increíble!!!!! que pena......@egocadavid USER https://t.co/vAKpX1AFJ7",sadness
Campeooooones campeooooones olé olé olé !!! HASHTAG HASHTAG 🔵🔴 https://t.co/rU4MzPYEmT,joy
Gente pidiendo farolas en plena batalla fantástica en una época antigua HASHTAG HASHTAG,others
"Es un mago, en ese Tiro libre el gol ya estaba cantado antes de patear.  HASHTAG https://t.co/Wfik9XjBPu",others
"USER USER USER USER El jueves, HASHTAG en la HASHTAG por HASHTAG. Dejan el HASHTAG como un vertedero nuclear. El viernes, a manifestarse contra el HASHTAG con HASHTAG. Y los medios, condescendientes, contemporizadores y jocosos con el alcoholismo joven HASHTAG",anger
La madre q los pario HASHTAG,others
Esta niña nos da una lección vital y nos avergüenza con su sentido común HASHTAG  https://t.co/pgquTRj7Lp,others
Lo que me preocupa y mucho son los 24 escaños de HASHTAG HASHTAG HASHTAG,fear
Siguiendo los acontecimientos con preocupación HASHTAG HASHTAG 🙏,others
